Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Rui Hachimura,39:19,7,16,.438,1,8,.125,2,4,.500,2,6,8,3,1,0,1,1,17,12.7,-1,hachiru01
LeBron James,37:54,10,22,.455,4,11,.364,2,2,1.000,1,6,7,11,1,2,2,0,26,25.2,-4,jamesle01
Luka Dončić,33:14,5,18,.278,1,9,.111,3,4,.750,1,10,11,8,1,0,6,5,14,5.3,+13,doncilu01
Austin Reaves,27:15,3,9,.333,2,7,.286,0,0,,0,2,2,2,1,2,3,3,8,3.1,-5,reaveau01
Jaxson Hayes,18:08,4,5,.800,0,0,,0,0,,1,3,4,0,2,0,1,2,8,7.9,+12,hayesja02
Dorian Finney-Smith,28:06,4,7,.571,4,6,.667,0,0,,4,1,5,3,0,0,1,1,12,12.5,+1,finnedo01
Gabe Vincent,20:12,2,7,.286,2,6,.333,0,0,,2,1,3,2,0,0,1,3,6,2.8,-6,vincega01
Dalton Knecht,13:06,1,5,.200,1,4,.250,0,0,,1,4,5,0,1,0,1,1,3,1.4,-16,knechda01
Jarred Vanderbilt,12:41,1,1,1.000,0,0,,1,2,.500,0,4,4,0,0,0,2,0,3,1.5,-17,vandeja01
Alex Len,10:05,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,+8,lenal01
