,,,,,Score,,,,Team,,,,,,,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,,,,,,,,,
Rk,Gtm,Date,Type,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_2P,Opp_2PA,Opp_2P%,Opp_eFG%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_DRB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
1,1,22/10/2024,,MIN,W,110,103,,42,95,0.442,5,30,0.167,37,65,0.569,0.468,21,25,0.84,15,31,46,22,7,8,7,22,35,85,0.412,13,41,0.317,22,44,0.5,0.488,20,27,0.741,12,35,47,17,4,1,16,22
2,2,25/10/2024,,PHO,W,123,116,,40,75,0.533,14,27,0.519,26,48,0.542,0.627,29,39,0.744,6,31,37,33,10,5,13,18,42,82,0.512,17,37,0.459,25,45,0.556,0.616,15,17,0.882,5,29,34,35,8,4,17,26
3,3,26/10/2024,,SAC,W,131,127,,48,92,0.522,14,34,0.412,34,58,0.586,0.598,21,24,0.875,13,32,45,32,8,3,19,19,45,88,0.511,15,44,0.341,30,44,0.682,0.597,22,25,0.88,5,27,32,32,12,5,14,19
4,4,28/10/2024,@,PHO,L,105,109,,39,94,0.415,14,32,0.438,25,62,0.403,0.489,13,18,0.722,11,35,46,25,5,6,12,19,40,87,0.46,11,36,0.306,29,51,0.569,0.523,18,20,0.9,9,37,46,21,7,11,11,22
5,5,30/10/2024,@,CLE,L,110,134,,38,77,0.494,6,28,0.214,32,49,0.653,0.532,28,33,0.848,5,32,37,21,6,0,21,7,56,97,0.577,17,41,0.415,39,56,0.696,0.665,5,8,0.625,6,30,36,37,14,2,12,26
6,6,1/11/2024,@,TOR,W,131,125,,42,88,0.477,11,32,0.344,31,56,0.554,0.54,36,41,0.878,9,34,43,29,6,5,10,17,52,107,0.486,10,35,0.286,42,72,0.583,0.533,11,13,0.846,15,29,44,35,4,6,11,29
7,7,4/11/2024,@,DET,L,103,115,,37,85,0.435,9,25,0.36,28,60,0.467,0.488,20,27,0.741,7,30,37,28,8,1,13,16,45,96,0.469,8,34,0.235,37,62,0.597,0.51,17,22,0.773,17,38,55,22,6,5,12,25
8,8,6/11/2024,@,MEM,L,114,131,,41,93,0.441,15,48,0.313,26,45,0.578,0.522,17,21,0.81,9,28,37,23,10,1,11,18,48,93,0.516,17,34,0.5,31,59,0.525,0.608,18,23,0.783,12,38,50,28,5,6,18,17
9,9,8/11/2024,,PHI,W,116,106,,44,85,0.518,16,35,0.457,28,50,0.56,0.612,12,14,0.857,5,40,45,28,1,13,13,17,39,96,0.406,13,39,0.333,26,57,0.456,0.474,15,23,0.652,13,31,44,28,6,4,8,14
10,10,10/11/2024,,TOR,W,123,103,,44,86,0.512,12,37,0.324,32,49,0.653,0.581,23,28,0.821,10,23,33,30,9,4,5,15,37,82,0.451,10,29,0.345,27,53,0.509,0.512,19,22,0.864,12,28,40,26,2,2,18,23
11,11,13/11/2024,,MEM,W,128,123,,43,85,0.506,20,41,0.488,23,44,0.523,0.624,22,32,0.688,7,35,42,31,7,5,18,22,42,89,0.472,12,33,0.364,30,56,0.536,0.539,27,33,0.818,12,29,41,28,11,6,14,25
12,12,15/11/2024,@,SAS,W,120,115,,44,88,0.5,14,31,0.452,30,57,0.526,0.58,18,23,0.783,10,31,41,27,10,3,12,11,43,88,0.489,17,45,0.378,26,43,0.605,0.585,12,16,0.75,11,29,40,32,6,5,13,19
13,13,16/11/2024,@,NOP,W,104,99,,39,89,0.438,12,40,0.3,27,49,0.551,0.506,14,18,0.778,17,26,43,24,10,3,11,14,35,83,0.422,11,29,0.379,24,54,0.444,0.488,18,23,0.783,18,32,50,24,7,4,17,19
14,14,19/11/2024,,UTA,W,124,118,,42,76,0.553,14,31,0.452,28,45,0.622,0.645,26,36,0.722,6,28,34,30,9,5,14,16,45,90,0.5,12,36,0.333,33,54,0.611,0.567,16,19,0.842,11,31,42,28,9,0,16,24
15,15,21/11/2024,,ORL,L,118,119,,44,87,0.506,13,31,0.419,31,56,0.554,0.58,17,26,0.654,9,27,36,21,4,6,10,15,43,91,0.473,15,40,0.375,28,51,0.549,0.555,18,21,0.857,15,33,48,31,8,5,17,25
16,16,23/11/2024,,DEN,L,102,127,,39,88,0.443,13,36,0.361,26,52,0.5,0.517,11,14,0.786,6,26,32,27,11,3,15,16,50,82,0.61,16,32,0.5,34,50,0.68,0.707,11,19,0.579,8,40,48,37,7,2,18,18
17,17,26/11/2024,@,PHO,L,100,127,,37,85,0.435,8,34,0.235,29,51,0.569,0.482,18,25,0.72,7,35,42,25,7,6,12,11,51,99,0.515,17,42,0.405,34,57,0.596,0.601,8,10,0.8,8,38,46,31,9,3,9,18
